"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"AntsAlf100-200.nlogo"
"experiment"
"12/10/2024 22:18:27:974 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","population","diffusion-rate","evaporation-rate","[step]","total-food"
"385","125","0","38","200","61"
"386","125","0","38","200","65"
"388","125","0","38","200","51"
"387","125","0","38","200","56"
"389","125","0","38","200","58"
"391","125","0","39","200","55"
"390","125","0","38","200","49"
"393","125","0","39","200","51"
"392","125","0","39","200","45"
"394","125","0","39","200","46"
"395","125","0","39","200","55"
"397","125","0","39","200","69"
"396","125","0","39","200","46"
"399","125","0","39","200","53"
"398","125","0","39","200","48"
"400","125","0","39","200","53"
"401","125","0","40","200","54"
"402","125","0","40","200","42"
"344","125","0","34","200","52"
"404","125","0","40","200","48"
"403","125","0","40","200","56"
"409","125","0","40","200","61"
"407","125","0","40","200","64"
"405","125","0","40","200","53"
"406","125","0","40","200","53"
"410","125","0","40","200","56"
"411","125","0","41","200","53"
"408","125","0","40","200","60"
"413","125","0","41","200","51"
"412","125","0","41","200","57"
"415","125","0","41","200","53"
"414","125","0","41","200","49"
"416","125","0","41","200","59"
"417","125","0","41","200","52"
"419","125","0","41","200","51"
"420","125","0","41","200","50"
"421","125","0","42","200","56"
"422","125","0","42","200","48"
"426","125","0","42","200","61"
"425","125","0","42","200","54"
"424","125","0","42","200","64"
"423","125","0","42","200","55"
"427","125","0","42","200","53"
"428","125","0","42","200","53"
"430","125","0","42","200","49"
"429","125","0","42","200","48"
"431","125","0","43","200","52"
"432","125","0","43","200","58"
"434","125","0","43","200","50"
"436","125","0","43","200","49"
"433","125","0","43","200","53"
"437","125","0","43","200","57"
"438","125","0","43","200","54"
"439","125","0","43","200","58"
"435","125","0","43","200","51"
"443","125","0","44","200","42"
"441","125","0","44","200","50"
"440","125","0","43","200","48"
"444","125","0","44","200","59"
"442","125","0","44","200","57"
"445","125","0","44","200","57"
"446","125","0","44","200","59"
"447","125","0","44","200","39"
"449","125","0","44","200","58"
"451","125","0","45","200","40"
"448","125","0","44","200","54"
"452","125","0","45","200","57"
"453","125","0","45","200","49"
"450","125","0","44","200","58"
"455","125","0","45","200","54"
"458","125","0","45","200","41"
"454","125","0","45","200","57"
"457","125","0","45","200","56"
"456","125","0","45","200","55"
"459","125","0","45","200","65"
"460","125","0","45","200","49"
"461","125","0","46","200","53"
"463","125","0","46","200","66"
"462","125","0","46","200","55"
"464","125","0","46","200","59"
"466","125","0","46","200","63"
"467","125","0","46","200","42"
"465","125","0","46","200","55"
"469","125","0","46","200","58"
"468","125","0","46","200","55"
"470","125","0","46","200","50"
"472","125","0","47","200","55"
"473","125","0","47","200","55"
"471","125","0","47","200","53"
"474","125","0","47","200","57"
"475","125","0","47","200","59"
"476","125","0","47","200","56"
"477","125","0","47","200","48"
"418","125","0","41","200","70"
"479","125","0","47","200","61"
"480","125","0","47","200","36"
"478","125","0","47","200","52"
"481","125","0","48","200","47"
"483","125","0","48","200","65"
"482","125","0","48","200","53"
"485","125","0","48","200","58"
"484","125","0","48","200","54"
"486","125","0","48","200","54"
"487","125","0","48","200","46"
"489","125","0","48","200","46"
"488","125","0","48","200","48"
"490","125","0","48","200","54"
"491","125","0","49","200","55"
"492","125","0","49","200","53"
"495","125","0","49","200","59"
"494","125","0","49","200","53"
"497","125","0","49","200","59"
"496","125","0","49","200","57"
"498","125","0","49","200","45"
"500","125","0","49","200","44"
"499","125","0","49","200","58"
"501","125","0","50","200","55"
"502","125","0","50","200","55"
"503","125","0","50","200","46"
"504","125","0","50","200","49"
"505","125","0","50","200","59"
"506","125","0","50","200","58"
"508","125","0","50","200","50"
"507","125","0","50","200","61"
"509","125","0","50","200","57"
"510","125","0","50","200","55"
"511","125","0","51","200","63"
"513","125","0","51","200","46"
"512","125","0","51","200","52"
"514","125","0","51","200","49"
"515","125","0","51","200","50"
"516","125","0","51","200","47"
"517","125","0","51","200","46"
"518","125","0","51","200","57"
"519","125","0","51","200","48"
"522","125","0","52","200","51"
"521","125","0","52","200","60"
"524","125","0","52","200","60"
"520","125","0","51","200","61"
"523","125","0","52","200","50"
"525","125","0","52","200","54"
"526","125","0","52","200","58"
"527","125","0","52","200","55"
"529","125","0","52","200","55"
"528","125","0","52","200","66"
"530","125","0","52","200","48"
"531","125","0","53","200","64"
"532","125","0","53","200","55"
"533","125","0","53","200","51"
"534","125","0","53","200","69"
"535","125","0","53","200","60"
"537","125","0","53","200","52"
"540","125","0","53","200","56"
"536","125","0","53","200","53"
"539","125","0","53","200","59"
"541","125","0","54","200","57"
"542","125","0","54","200","59"
"538","125","0","53","200","44"
"543","125","0","54","200","57"
"544","125","0","54","200","66"
"545","125","0","54","200","58"
"546","125","0","54","200","47"
"550","125","0","54","200","50"
"547","125","0","54","200","55"
"548","125","0","54","200","67"
"551","125","0","55","200","65"
"549","125","0","54","200","49"
"552","125","0","55","200","63"
"555","125","0","55","200","65"
"556","125","0","55","200","54"
"553","125","0","55","200","52"
"554","125","0","55","200","39"
"493","125","0","49","200","58"
"557","125","0","55","200","60"
"558","125","0","55","200","51"
"559","125","0","55","200","61"
"560","125","0","55","200","52"
"562","125","0","56","200","64"
"561","125","0","56","200","59"
"565","125","0","56","200","59"
"567","125","0","56","200","46"
"564","125","0","56","200","58"
"563","125","0","56","200","56"
"566","125","0","56","200","61"
"568","125","0","56","200","50"
"569","125","0","56","200","52"
"570","125","0","56","200","57"
"571","125","0","57","200","54"
"574","125","0","57","200","52"
"573","125","0","57","200","57"
"575","125","0","57","200","60"
"577","125","0","57","200","59"
"576","125","0","57","200","58"
"579","125","0","57","200","52"
"578","125","0","57","200","67"
"580","125","0","57","200","62"
"584","125","0","58","200","55"
"582","125","0","58","200","52"
"585","125","0","58","200","57"
"581","125","0","58","200","61"
"583","125","0","58","200","65"
"586","125","0","58","200","56"
"588","125","0","58","200","55"
"587","125","0","58","200","55"
"572","125","0","57","200","47"
"589","125","0","58","200","62"
"590","125","0","58","200","55"
"591","125","0","59","200","47"
"593","125","0","59","200","51"
"592","125","0","59","200","60"
"595","125","0","59","200","50"
"596","125","0","59","200","48"
"594","125","0","59","200","47"
"598","125","0","59","200","62"
"597","125","0","59","200","59"
"599","125","0","59","200","57"
"600","125","0","59","200","40"
"602","125","0","60","200","67"
"601","125","0","60","200","53"
"603","125","0","60","200","61"
"607","125","0","60","200","47"
"606","125","0","60","200","43"
"608","125","0","60","200","52"
"605","125","0","60","200","59"
"604","125","0","60","200","62"
"610","125","0","60","200","44"
"609","125","0","60","200","56"
"611","125","0","61","200","55"
"613","125","0","61","200","56"
"612","125","0","61","200","69"
"615","125","0","61","200","57"
"614","125","0","61","200","62"
"616","125","0","61","200","55"
"617","125","0","61","200","55"
"618","125","0","61","200","52"
"619","125","0","61","200","53"
"620","125","0","61","200","66"
"622","125","0","62","200","48"
"621","125","0","62","200","50"
"625","125","0","62","200","47"
"627","125","0","62","200","63"
"623","125","0","62","200","60"
"626","125","0","62","200","55"
"628","125","0","62","200","55"
"624","125","0","62","200","61"
"630","125","0","62","200","49"
"629","125","0","62","200","68"
"631","125","0","63","200","56"
"632","125","0","63","200","54"
"633","125","0","63","200","58"
"634","125","0","63","200","57"
"635","125","0","63","200","53"
"636","125","0","63","200","55"
"637","125","0","63","200","55"
"639","125","0","63","200","51"
"638","125","0","63","200","48"
"640","125","0","63","200","54"
"643","125","0","64","200","59"
"642","125","0","64","200","51"
"641","125","0","64","200","42"
"645","125","0","64","200","73"
"649","125","0","64","200","48"
"647","125","0","64","200","59"
"646","125","0","64","200","55"
"648","125","0","64","200","60"
"644","125","0","64","200","59"
"650","125","0","64","200","48"
"652","125","0","65","200","55"
"651","125","0","65","200","45"
"653","125","0","65","200","55"
"654","125","0","65","200","50"
"657","125","0","65","200","52"
"656","125","0","65","200","56"
"655","125","0","65","200","49"
"658","125","0","65","200","62"
"661","125","0","66","200","56"
"659","125","0","65","200","47"
"660","125","0","65","200","56"
"662","125","0","66","200","53"
"664","125","0","66","200","57"
"663","125","0","66","200","46"
"667","125","0","66","200","65"
"666","125","0","66","200","50"
"669","125","0","66","200","49"
"668","125","0","66","200","67"
"665","125","0","66","200","64"
"670","125","0","66","200","67"
"672","125","0","67","200","58"
"671","125","0","67","200","63"
"673","125","0","67","200","54"
"674","125","0","67","200","53"
"675","125","0","67","200","51"
"677","125","0","67","200","45"
"676","125","0","67","200","53"
"678","125","0","67","200","61"
"681","125","0","68","200","52"
"679","125","0","67","200","56"
"683","125","0","68","200","52"
"682","125","0","68","200","54"
"680","125","0","67","200","53"
"684","125","0","68","200","59"
"686","125","0","68","200","50"
"687","125","0","68","200","65"
"688","125","0","68","200","44"
"685","125","0","68","200","55"
"689","125","0","68","200","62"
"691","125","0","69","200","49"
"690","125","0","68","200","60"
"692","125","0","69","200","58"
"695","125","0","69","200","54"
"694","125","0","69","200","62"
"697","125","0","69","200","63"
"696","125","0","69","200","58"
"693","125","0","69","200","54"
"698","125","0","69","200","53"
"699","125","0","69","200","65"
"701","125","0","70","200","63"
"700","125","0","69","200","62"
"703","125","0","70","200","61"
"702","125","0","70","200","54"
"706","125","0","70","200","57"
"704","125","0","70","200","47"
"705","125","0","70","200","60"
"707","125","0","70","200","65"
"709","125","0","70","200","55"
"708","125","0","70","200","55"
"711","125","0","71","200","61"
"710","125","0","70","200","58"
"712","125","0","71","200","63"
"714","125","0","71","200","61"
"716","125","0","71","200","55"
"713","125","0","71","200","59"
"718","125","0","71","200","58"
"719","125","0","71","200","51"
"715","125","0","71","200","54"
"717","125","0","71","200","59"
"720","125","0","71","200","58"
"722","125","0","72","200","54"
"724","125","0","72","200","54"
"723","125","0","72","200","48"
"726","125","0","72","200","51"
"725","125","0","72","200","58"
"721","125","0","72","200","55"
"727","125","0","72","200","45"
"729","125","0","72","200","53"
"728","125","0","72","200","52"
"730","125","0","72","200","49"
"733","125","0","73","200","50"
"732","125","0","73","200","63"
"735","125","0","73","200","69"
"734","125","0","73","200","59"
"731","125","0","73","200","57"
"736","125","0","73","200","49"
"738","125","0","73","200","50"
"740","125","0","73","200","46"
"739","125","0","73","200","53"
"737","125","0","73","200","53"
"741","125","0","74","200","46"
"746","125","0","74","200","55"
"743","125","0","74","200","49"
"744","125","0","74","200","63"
"748","125","0","74","200","51"
"747","125","0","74","200","46"
"742","125","0","74","200","48"
"745","125","0","74","200","53"
"749","125","0","74","200","45"
"750","125","0","74","200","46"
"751","125","0","75","200","45"
"752","125","0","75","200","51"
"753","125","0","75","200","50"
"754","125","0","75","200","54"
"755","125","0","75","200","57"
"756","125","0","75","200","51"
"758","125","0","75","200","50"
